nohup: ignoring input
/root/LaneNet-Pytorch-teach/LaneNet-PyTorch-master/train.py:35: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  pretrained_weights = torch.load(pretrained_weights_path, map_location=device)
train_set length 12480
valid_set length 2673
test_set length 2673
Loaded pretrained weights.
epoch[86] iter[480] loss: [0.0352, 0.0572]
epoch[86] iter[500] loss: [0.0298, 0.0475]
epoch[86] iter[520] loss: [0.0346, 0.0515]
epoch[86] iter[540] loss: [0.0305, 0.0535]
epoch[86] iter[560] loss: [0.0345, 0.0528]
epoch[86] iter[580] loss: [0.0363, 0.0487]
epoch[86] iter[600] loss: [0.0381, 0.0662]
epoch[86] iter[620] loss: [0.0346, 0.0502]
epoch[86] iter[640] loss: [0.0405, 0.0606]
epoch[86] iter[660] loss: [0.0442, 0.0710]
epoch[86] iter[680] loss: [0.0358, 0.0504]
epoch[86] iter[700] loss: [0.0337, 0.0489]
epoch[86] iter[720] loss: [0.0339, 0.0515]
epoch[86] iter[740] loss: [0.0288, 0.0488]
epoch[86] iter[760] loss: [0.0311, 0.0658]
epoch[86] iter[780] loss: [0.0384, 0.0531]
epoch[86] iter[800] loss: [0.0347, 0.0470]
epoch[86] iter[820] loss: [0.0347, 0.0501]
epoch[86] iter[840] loss: [0.0305, 0.0455]
epoch[86] iter[860] loss: [0.0376, 0.0562]
epoch[86] iter[880] loss: [0.0402, 0.0724]
epoch[86] iter[900] loss: [0.0406, 0.0733]
epoch[86] iter[920] loss: [0.0422, 0.0689]
